@RELATION credit

@ATTRIBUTE checking_status {<0, 0<=X<200, >=200, "no checking"}
@ATTRIBUTE duration NUMERIC
@ATTRIBUTE credit_history {"no credits/all paid", "all paid", "existing paid", "delayed previously", "critical/other existing credit"}
@ATTRIBUTE purpose {"new car", "used car", furniture/equipment, radio/tv, "domestic appliance", repairs, education, vacation, retraining, business, other}
@ATTRIBUTE credit_amount NUMERIC
@ATTRIBUTE savings_status NUMERIC
@ATTRIBUTE employment {unemployed, <1, 1<=X<4, 4<=X<7, >=7}
@ATTRIBUTE installment_commitment NUMERIC
@ATTRIBUTE personal_status {"male div/sep", "female div/dep/mar", "male single", "male mar/wid", "female single"}
@ATTRIBUTE other_parties {none, "co applicant", guarantor}
@ATTRIBUTE residence_since NUMERIC
@ATTRIBUTE property_magnitude {"real estate", "life insurance", car, "no known property"}
@ATTRIBUTE age NUMERIC
@ATTRIBUTE other_payment_plans {bank, stores, none}
@ATTRIBUTE housing {rent, own, "for free"}
@ATTRIBUTE existing_credits NUMERIC
@ATTRIBUTE job {"unemp/unskilled non res", "unskilled resident", skilled, "high qualif/self emp/mgmt"}
@ATTRIBUTE num_dependents NUMERIC
@ATTRIBUTE own_telephone {none, yes}
@ATTRIBUTE foreign_worker {yes, no}
@ATTRIBUTE class {good, bad}

@DATA
<0,24.0,'critical/other existing credit',business,1382.0,234,4<=X<7,4.0,'male single',none,1.0,'real estate',26.0,none,own,2.0,skilled,1.0,yes,yes,good
0<=X<200,11.0,'critical/other existing credit','new car',1322.0,1077.75121376,1<=X<4,4.0,'female div/dep/mar',none,4.0,car,40.0,none,own,2.0,skilled,1.0,none,yes,good
<0,18.0,'all paid',radio/tv,1940.0,75,<1,3.0,'male single','co applicant',4.0,'no known property',36.0,bank,'for free',1.0,'high qualif/self emp/mgmt',1.0,yes,yes,good
<0,9.0,'existing paid','new car',1422.0,99,<1,3.0,'male single',none,2.0,'no known property',27.0,none,'for free',1.0,'high qualif/self emp/mgmt',1.0,yes,yes,bad
'no checking',24.0,'existing paid','used car',9277.0,?,1<=X<4,2.0,'male div/sep',none,4.0,'no known property',48.0,none,'for free',1.0,skilled,1.0,yes,yes,good
0<=X<200,30.0,'critical/other existing credit','new car',2181.0,?,>=7,4.0,'male single',none,4.0,'real estate',36.0,none,own,2.0,skilled,1.0,none,yes,good
0<=X<200,24.0,'existing paid',furniture/equipment,4057.0,33,4<=X<7,3.0,'male div/sep',none,3.0,car,43.0,none,own,1.0,skilled,1.0,yes,yes,bad
<0,12.0,'existing paid',education,795.0,19,<1,4.0,'female div/dep/mar',none,4.0,'life insurance',53.0,none,own,1.0,skilled,1.0,none,yes,bad
0<=X<200,24.0,'critical/other existing credit',business,2825.0,?,4<=X<7,4.0,'male single',none,3.0,'no known property',34.0,none,own,2.0,skilled,2.0,yes,yes,good
'no checking',36.0,'critical/other existing credit','new car',6614.0,55,>=7,4.0,'male single',none,4.0,car,34.0,none,own,2.0,'high qualif/self emp/mgmt',1.0,yes,yes,good
'no checking',28.0,'all paid','used car',7824.0,?,<1,3.0,'male single',guarantor,4.0,'real estate',40.0,bank,rent,2.0,skilled,2.0,yes,yes,good
<0,27.0,'critical/other existing credit',business,2442.0,32,>=7,4.0,'male single',none,4.0,car,43.0,stores,own,4.0,'high qualif/self emp/mgmt',2.0,yes,yes,good
'no checking',15.0,'critical/other existing credit',radio/tv,1829.0,8,>=7,4.0,'male single',none,4.0,car,46.0,none,own,2.0,skilled,1.0,yes,yes,good
'no checking',18.0,'critical/other existing credit',radio/tv,1169.0,?,1<=X<4,4.0,'male single',none,3.0,'life insurance',29.0,none,own,2.0,skilled,1.0,yes,yes,good
'no checking',12.0,'critical/other existing credit',furniture/equipment,1592.0,1043.79045704,4<=X<7,3.0,'female div/dep/mar',none,2.0,'life insurance',35.0,none,own,1.0,skilled,1.0,none,no,good
<0,18.0,'existing paid',furniture/equipment,4153.0,65,1<=X<4,2.0,'male single','co applicant',3.0,car,42.0,none,own,1.0,skilled,1.0,none,yes,bad
'no checking',20.0,'critical/other existing credit','new car',3485.0,?,<1,2.0,'male div/sep',none,4.0,'real estate',44.0,none,own,2.0,skilled,1.0,yes,yes,good
'no checking',36.0,'critical/other existing credit','used car',10477.0,?,>=7,2.0,'male single',none,4.0,'no known property',42.0,none,'for free',2.0,skilled,1.0,none,yes,good
'no checking',15.0,'existing paid',radio/tv,1386.0,?,1<=X<4,4.0,'male mar/wid',none,2.0,'real estate',40.0,none,rent,1.0,skilled,1.0,yes,yes,good
'no checking',24.0,'existing paid',radio/tv,1278.0,98,>=7,4.0,'male single',none,1.0,'real estate',36.0,none,own,1.0,'high qualif/self emp/mgmt',1.0,yes,yes,good
0<=X<200,36.0,'existing paid',education,3711.0,?,1<=X<4,2.0,'male mar/wid',none,2.0,car,27.0,none,own,1.0,skilled,1.0,none,yes,good
'no checking',15.0,'delayed previously','used car',3594.0,71,<1,1.0,'female div/dep/mar',none,2.0,'life insurance',46.0,none,own,2.0,'unskilled resident',1.0,none,yes,good
'no checking',36.0,'delayed previously',radio/tv,4454.0,22,1<=X<4,4.0,'female div/dep/mar',none,4.0,'real estate',34.0,none,own,2.0,skilled,1.0,none,yes,good
0<=X<200,24.0,'critical/other existing credit',furniture/equipment,4736.0,18,<1,2.0,'female div/dep/mar',none,4.0,car,25.0,bank,own,1.0,'unskilled resident',1.0,none,yes,bad
0<=X<200,30.0,'existing paid',radio/tv,2991.0,?,>=7,2.0,'female div/dep/mar',none,4.0,car,25.0,none,own,1.0,skilled,1.0,none,yes,good
<0,24.0,'all paid',business,3161.0,39,1<=X<4,4.0,'male single',none,2.0,'life insurance',31.0,none,rent,1.0,skilled,1.0,yes,yes,bad
'no checking',10.0,'existing paid','used car',2848.0,205,1<=X<4,1.0,'male single','co applicant',2.0,'real estate',32.0,none,own,1.0,skilled,2.0,none,yes,good
<0,6.0,'existing paid','new car',14896.0,8,>=7,1.0,'male single',none,4.0,'no known property',68.0,bank,own,1.0,'high qualif/self emp/mgmt',1.0,yes,yes,bad
<0,24.0,'existing paid',furniture/equipment,2359.0,231,unemployed,1.0,'male div/sep',none,1.0,'life insurance',33.0,none,own,1.0,skilled,1.0,none,yes,bad
<0,24.0,'existing paid',furniture/equipment,3345.0,67,>=7,4.0,'male single',none,2.0,'life insurance',39.0,none,rent,1.0,'high qualif/self emp/mgmt',1.0,yes,yes,bad
0<=X<200,12.0,'existing paid','new car',2002.0,47,4<=X<7,3.0,'male single',none,4.0,'life insurance',30.0,none,rent,1.0,skilled,2.0,yes,yes,good
<0,12.0,'all paid','new car',697.0,34,<1,4.0,'male single',none,2.0,car,46.0,bank,own,2.0,skilled,1.0,yes,yes,bad
'no checking',30.0,'existing paid',radio/tv,1867.0,?,>=7,4.0,'male single',none,4.0,car,58.0,none,own,1.0,skilled,1.0,yes,yes,good
<0,12.0,'delayed previously','new car',1344.0,96,1<=X<4,4.0,'male single',none,2.0,'real estate',43.0,none,own,2.0,'unskilled resident',2.0,none,yes,good
<0,24.0,'existing paid',furniture/equipment,1747.0,14,<1,4.0,'male single','co applicant',1.0,'life insurance',24.0,none,own,1.0,'unskilled resident',1.0,none,no,good
0<=X<200,9.0,'existing paid',radio/tv,1670.0,48,<1,4.0,'female div/dep/mar',none,2.0,car,22.0,none,own,1.0,skilled,1.0,yes,yes,bad
'no checking',9.0,'critical/other existing credit','new car',1224.0,13,1<=X<4,3.0,'male single',none,1.0,'real estate',30.0,none,own,2.0,skilled,1.0,none,yes,good
<0,12.0,'existing paid',radio/tv,1498.0,20,1<=X<4,4.0,'female div/dep/mar',none,1.0,car,23.0,bank,own,1.0,skilled,1.0,none,yes,good
0<=X<200,30.0,'delayed previously',radio/tv,1919.0,111,<1,4.0,'male single',none,3.0,'no known property',30.0,stores,own,2.0,'high qualif/self emp/mgmt',1.0,none,yes,bad
>=200,9.0,'existing paid',radio/tv,745.0,17,1<=X<4,3.0,'female div/dep/mar',none,2.0,'real estate',28.0,none,own,1.0,'unskilled resident',1.0,none,yes,bad
'no checking',10.0,'existing paid','new car',1546.0,16,1<=X<4,3.0,'male single',none,2.0,'real estate',31.0,none,own,1.0,'unskilled resident',2.0,none,no,good
'no checking',24.0,'existing paid',furniture/equipment,929.0,?,4<=X<7,4.0,'male single',none,2.0,car,31.0,stores,own,1.0,skilled,1.0,yes,yes,good
<0,24.0,'all paid',furniture/equipment,3349.0,822,<1,4.0,'male single',none,4.0,'no known property',30.0,none,'for free',1.0,skilled,2.0,yes,yes,bad
'no checking',18.0,'existing paid',furniture/equipment,1533.0,74,<1,4.0,'male mar/wid','co applicant',1.0,'life insurance',43.0,none,own,1.0,'unskilled resident',2.0,none,yes,bad
'no checking',24.0,'existing paid',radio/tv,3621.0,484,>=7,2.0,'male single',none,4.0,car,31.0,none,own,2.0,skilled,1.0,none,yes,bad
0<=X<200,18.0,'critical/other existing credit',business,3590.0,49,unemployed,3.0,'male mar/wid',none,3.0,car,40.0,none,own,3.0,'unemp/unskilled non res',2.0,yes,yes,good
<0,36.0,'delayed previously',business,2145.0,10,4<=X<7,2.0,'male single',none,1.0,car,24.0,none,own,2.0,skilled,1.0,yes,yes,bad
0<=X<200,24.0,'existing paid','used car',4113.0,797,<1,3.0,'female div/dep/mar',none,4.0,car,28.0,none,rent,1.0,skilled,1.0,none,yes,bad
<0,12.0,'existing paid','new car',1893.0,30,1<=X<4,4.0,'female div/dep/mar',guarantor,4.0,'life insurance',29.0,none,own,1.0,skilled,1.0,yes,yes,good
<0,24.0,'critical/other existing credit',radio/tv,1231.0,1029.91676595,>=7,4.0,'female div/dep/mar',none,4.0,'life insurance',57.0,none,rent,2.0,'high qualif/self emp/mgmt',1.0,yes,yes,good
0<=X<200,9.0,'critical/other existing credit',radio/tv,1154.0,95,>=7,2.0,'male single',none,4.0,'real estate',37.0,none,own,3.0,'unskilled resident',1.0,none,yes,good
<0,28.0,'existing paid','new car',4006.0,70,1<=X<4,3.0,'male single',none,2.0,car,45.0,none,own,1.0,'unskilled resident',1.0,none,yes,bad
0<=X<200,21.0,'delayed previously','new car',2353.0,19,1<=X<4,1.0,'male div/sep',none,4.0,'life insurance',47.0,none,own,2.0,skilled,1.0,none,yes,good
'no checking',15.0,'existing paid','new car',3556.0,?,1<=X<4,3.0,'male single',none,2.0,'no known property',29.0,none,own,1.0,skilled,1.0,none,yes,good
'no checking',24.0,'existing paid',radio/tv,2397.0,835,>=7,3.0,'male single',none,2.0,car,35.0,bank,own,2.0,skilled,1.0,yes,yes,bad
0<=X<200,6.0,'existing paid',repairs,454.0,51,<1,3.0,'male mar/wid',none,1.0,'life insurance',22.0,none,own,1.0,'unskilled resident',1.0,none,yes,good
0<=X<200,30.0,'existing paid',radio/tv,1715.0,?,1<=X<4,4.0,'female div/dep/mar',none,1.0,car,26.0,none,own,1.0,skilled,1.0,none,yes,good
0<=X<200,27.0,'critical/other existing credit',radio/tv,2520.0,536,1<=X<4,4.0,'male single',none,2.0,'life insurance',23.0,none,own,2.0,'unskilled resident',1.0,none,yes,bad
'no checking',15.0,'existing paid',radio/tv,3568.0,40,>=7,4.0,'female div/dep/mar',none,2.0,car,54.0,bank,rent,1.0,'high qualif/self emp/mgmt',1.0,yes,yes,good
'no checking',42.0,'existing paid',radio/tv,7166.0,?,4<=X<7,2.0,'male mar/wid',none,4.0,'life insurance',29.0,none,rent,1.0,skilled,1.0,yes,yes,good
<0,11.0,'critical/other existing credit','new car',3939.0,97,1<=X<4,1.0,'male single',none,2.0,'real estate',40.0,none,own,2.0,'unskilled resident',2.0,none,yes,good
0<=X<200,15.0,'existing paid',repairs,1514.0,238,1<=X<4,4.0,'male single',guarantor,2.0,'real estate',22.0,none,own,1.0,skilled,1.0,none,yes,good
'no checking',24.0,'existing paid','new car',7393.0,44,1<=X<4,1.0,'male single',none,4.0,'life insurance',43.0,none,own,1.0,'unskilled resident',2.0,none,yes,good
<0,60.0,'existing paid',business,7297.0,89,>=7,4.0,'male single','co applicant',4.0,'no known property',36.0,none,rent,1.0,skilled,1.0,none,yes,bad
>=200,24.0,'existing paid',radio/tv,1258.0,541,1<=X<4,3.0,'female div/dep/mar',none,3.0,car,57.0,none,own,1.0,'unskilled resident',1.0,none,yes,good
0<=X<200,6.0,'existing paid',radio/tv,753.0,68,1<=X<4,2.0,'female div/dep/mar',guarantor,3.0,'real estate',64.0,none,own,1.0,skilled,1.0,none,yes,good
0<=X<200,18.0,'delayed previously',business,2427.0,?,>=7,4.0,'male single',none,2.0,'life insurance',42.0,none,own,2.0,skilled,1.0,none,yes,good
0<=X<200,15.0,'all paid','new car',1264.0,308,1<=X<4,2.0,'male mar/wid',none,2.0,'life insurance',25.0,none,rent,1.0,skilled,1.0,none,yes,bad
0<=X<200,30.0,'critical/other existing credit',furniture/equipment,8386.0,57,4<=X<7,2.0,'male single',none,2.0,'life insurance',49.0,none,own,1.0,skilled,1.0,none,yes,bad
'no checking',48.0,'existing paid',business,4844.0,41,unemployed,3.0,'male single',none,2.0,car,33.0,bank,rent,1.0,'high qualif/self emp/mgmt',1.0,yes,yes,bad
>=200,21.0,'existing paid','new car',2923.0,330,1<=X<4,1.0,'female div/dep/mar',none,1.0,car,28.0,bank,own,1.0,'high qualif/self emp/mgmt',1.0,yes,yes,good
<0,36.0,'existing paid','used car',8229.0,6,1<=X<4,2.0,'male single',none,2.0,'life insurance',26.0,none,own,1.0,skilled,2.0,none,yes,bad
'no checking',24.0,'critical/other existing credit',furniture/equipment,2028.0,32,4<=X<7,2.0,'male single',none,2.0,'life insurance',30.0,none,own,2.0,'unskilled resident',1.0,none,yes,good
<0,15.0,'critical/other existing credit',furniture/equipment,1433.0,75,1<=X<4,4.0,'female div/dep/mar',none,3.0,'life insurance',25.0,none,rent,2.0,skilled,1.0,none,yes,good
<0,24.0,'existing paid','used car',6579.0,82,unemployed,4.0,'male single',none,2.0,'no known property',29.0,none,'for free',1.0,'high qualif/self emp/mgmt',1.0,yes,yes,good
0<=X<200,24.0,'critical/other existing credit',radio/tv,1743.0,7,>=7,4.0,'male single',none,2.0,'life insurance',48.0,none,own,2.0,'unskilled resident',1.0,none,yes,good
'no checking',12.0,'critical/other existing credit',education,3565.0,?,<1,2.0,'male single',none,1.0,'life insurance',37.0,none,own,2.0,'unskilled resident',2.0,none,yes,good
'no checking',15.0,'all paid',radio/tv,1569.0,202,>=7,4.0,'male single',none,4.0,car,34.0,bank,own,1.0,'unskilled resident',2.0,none,yes,good
<0,18.0,'existing paid',radio/tv,1936.0,?,4<=X<7,2.0,'male mar/wid',none,4.0,car,23.0,none,rent,2.0,'unskilled resident',1.0,none,yes,good
'no checking',12.0,'existing paid','new car',2390.0,?,>=7,4.0,'male single',none,3.0,car,50.0,none,own,1.0,skilled,1.0,yes,yes,good
'no checking',12.0,'existing paid',furniture/equipment,1736.0,25,4<=X<7,3.0,'female div/dep/mar',none,4.0,'real estate',31.0,none,own,1.0,'unskilled resident',1.0,none,yes,good
<0,30.0,'existing paid','used car',3857.0,55,1<=X<4,4.0,'male div/sep',none,4.0,'life insurance',40.0,none,own,1.0,'high qualif/self emp/mgmt',1.0,yes,yes,good
<0,45.0,'existing paid',radio/tv,1845.0,59,1<=X<4,4.0,'male single',none,4.0,'no known property',23.0,none,'for free',1.0,skilled,1.0,yes,yes,bad
% 
% 
% 
